Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-12-12,16399,10031,6098,3813,3332,4533,12637,24539,29426,27769,24631,24309,25227,24239,25417,23428,18521,23942,30118,32986,33366,33134,31109,27449
2012-12-13,20630,14216,8098,4664,3833,4713,12627,25103,29530,28232,25776,24841,25778,24839,26133,23564,18233,24184,30835,33927,33805,33500,31958,29631
2012-12-14,26376,19157,11976,8103,5370,5313,12281,24145,29072,28297,25981,25177,25079,24639,25918,22908,18591,24749,31434,35013,34634,33946,34370,33182
2012-12-15,30890,28344,23943,17101,10915,5199,5340,8010,12689,19279,24920,28317,29659,29716,28899,27274,21571,23823,28880,30468,30723,29887,30237,29374
2012-12-16,28906,27675,25072,19474,12449,5733,4982,6228,9495,14870,21643,25474,28472,28915,27598,24762,19899,22465,26246,25448,21586,20659,20768,16436
2012-12-17,11660,6305,4085,3023,3095,4865,12507,21839,26165,25904,22520,22194,23358,23121,24450,23098,18817,24283,30321,32119,31761,30142,28324,22402
2012-12-18,15674,8888,5728,3564,3208,4780,12169,23119,27990,27413,24265,23127,24092,23409,24990,23594,18131,23755,30415,32509,32256,32138,30443,26043
2012-12-19,18552,10910,6871,4497,3948,4977,12327,23390,28434,26939,24606,24814,25369,24366,25601,23278,18131,23518,30418,33242,32779,32924,31860,28496
2012-12-20,21217,13234,8036,5186,4560,5316,12637,23461,27916,27130,25151,25194,26271,25104,26240,23024,17947,23365,30108,33366,31946,31925,32302,30568
2012-12-21,25116,18503,13160,8760,6162,6081,12620,22556,27102,25503,23424,24871,24866,25038,25963,22646,18739,24300,30033,32245,30152,29262,31120,30442
2012-12-22,27611,23720,19536,14765,10100,5479,5796,7111,10251,15562,20327,24017,25789,26296,25683,24746,20399,23474,26903,27799,24261,23310,24981,24611
2012-12-23,21912,18946,15770,12343,8728,4681,4540,5408,7830,11581,16663,19513,20928,21298,21132,20684,18792,19187,19715,19327,16472,16001,14847,12491
2012-12-24,9308,6477,4609,3400,3213,2972,5382,8372,11174,13447,18216,18878,20249,21262,21789,21755,19564,20760,20742,22790,20186,18511,16561,14977
2012-12-25,12738,9450,6475,4332,2975,1998,2667,3124,3770,5630,8176,10043,11650,12408,13680,13897,12519,13187,14233,13590,13399,14113,13265,10296
2012-12-26,7053,4686,2933,1839,1844,2420,5633,9356,12853,15488,16596,17732,19402,20860,22768,21742,17798,20311,23916,23665,23259,20672,19036,15164
2012-12-27,11060,6958,4277,2810,2455,2923,6475,10195,15525,18687,19725,19485,20818,21707,22486,22107,19232,23172,27392,27617,24877,25211,25415,21033
2012-12-28,16610,11723,8335,6017,4765,3590,7023,10584,15514,18281,19879,20788,22036,22347,23646,21946,18555,22094,26313,28307,25069,24968,26809,26357
2012-12-29,25281,20617,17551,13535,9011,4344,4142,5102,7261,11273,15120,19124,24110,24647,24171,24149,21172,23684,26928,27386,22764,22632,24463,24394
2012-12-30,23728,21281,17818,14240,9304,4315,3946,4709,6499,10747,15525,19064,21839,22367,23082,23229,21762,23299,25899,25706,23537,22757,21335,20751
2012-12-31,17898,12970,9428,6630,4799,3390,5797,9196,12155,14266,16105,19034,21252,22116,24156,23655,21826,24669,28188,32605,34610,34447,31477,23289
