Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-03-23,23998,15941,12151,7356,5034,4765,11796,21928,28792,27866,24489,24105,25055,24525,26826,24813,20700,26296,33927,36155,34346,33407,34027,32655
2012-03-24,30953,27150,22817,17324,10866,5016,5613,7718,12539,18058,20724,23071,25495,26159,25918,26182,23266,25603,31904,33942,32067,31197,35003,35222
2012-03-25,32280,28414,25034,20044,12354,5563,4857,5915,9414,14869,19893,24069,25918,25844,25563,23821,21244,23421,24262,23787,21531,19336,17325,15838
2012-03-26,10472,6425,4075,2645,2917,4455,12119,21370,26684,26145,21832,21212,22218,22744,24004,23389,21749,27056,33729,33913,31548,29684,26822,18702
2012-03-27,12123,7004,4048,2544,2471,4122,12779,23990,30009,28861,25072,24046,24742,23960,24856,23984,20741,26041,32659,32995,31484,30931,28458,20967
2012-03-28,14622,8321,5101,3554,2951,4405,12718,23242,29386,28830,24023,23571,26169,28257,24627,22778,20137,25631,32256,33743,31909,32132,30362,23105
2012-03-29,16438,9918,6156,4111,3485,4485,12476,23504,29285,28197,24933,24212,25840,25088,26320,24675,20336,25472,33152,35452,35378,34769,33749,29461
2012-03-30,22791,15521,10522,6814,5184,5022,12506,22944,28890,28211,25123,24733,25404,24613,25944,23978,20150,25397,33062,36156,35828,34477,35020,34680
2012-03-31,32326,27956,22643,17887,10819,4996,5542,8240,12648,19337,23941,26808,29142,29547,28012,27720,24402,28177,33491,34476,32621,31510,34097,35635
2012-04-01,31277,28361,23739,19913,12138,5146,4882,6026,9355,14183,18979,21778,23969,25404,25514,23797,20883,24094,26582,24249,20676,18784,18016,15156
2012-04-02,10320,5776,3671,2597,2726,4456,12774,21289,25678,24492,20351,20369,22412,21441,21919,22914,19249,22540,30785,28451,27702,25247,21801,16337
2012-04-03,11030,7023,4314,2891,2680,4061,11762,22336,27688,25634,21806,20881,22042,23686,22004,21830,18628,22714,28776,30173,27905,26204,24615,18571
2012-04-04,12594,7367,4414,3090,2602,3702,10904,21398,25433,24968,22014,20476,21434,21941,22210,20852,16525,22371,27122,27488,27037,27021,25877,22607
2012-04-05,14280,9137,5469,3584,3006,3798,10939,21480,24711,23048,21665,21361,23326,22239,23618,20421,16902,18810,24992,28963,30064,30216,30204,28527
2012-04-06,24237,17256,12473,8737,6001,4490,8486,13093,20769,23449,22644,22931,23396,23048,23997,22143,18715,24211,28219,29339,27063,27326,28699,29325
2012-04-07,26802,21453,17857,13832,9483,4491,4447,6616,9153,14134,17213,19919,20602,23099,22508,22323,20017,22658,25636,26679,23619,24964,27361,26463
2012-04-08,24868,20611,16974,13763,9488,4147,3622,4608,7341,11310,17389,18761,21137,19910,19639,17193,17082,17359,18731,18311,17797,17524,16062,12067
2012-04-09,8592,5094,3386,2351,2291,3427,8768,17568,21184,21030,18124,17374,18659,19507,18703,18762,17840,19651,24291,27346,21809,20689,21063,14797
2012-04-10,10326,6385,3912,2695,2453,3408,9013,19528,24299,24378,21920,21001,24111,22684,24616,22677,18619,24658,30445,30833,28353,27890,24920,20788
2012-04-11,13182,7375,4553,3181,2899,3993,11642,20822,26092,24965,22347,21359,22605,21726,23095,21526,17609,21648,27108,29268,28203,28065,26492,22195
2012-04-12,15013,8538,5394,3806,3063,4063,11188,20003,25543,24423,22041,21254,23736,22636,23128,21364,17005,22274,28392,30548,30275,28919,29045,25550
2012-04-13,19659,13003,8978,6390,4553,4550,10412,19631,25048,24481,22308,22067,22660,21872,23008,21938,17720,21741,28795,31869,29857,31726,30627,29933
2012-04-14,27686,25469,20655,15748,10684,4947,5513,7847,11627,17236,20462,23993,24993,25201,24548,23305,20813,23172,29032,30732,29877,29595,32282,32036
2012-04-15,28936,26921,23421,19183,11995,5563,5126,7106,8806,13760,19666,21933,23770,24016,22708,22598,18665,20307,23034,21655,19775,18162,16767,13589
2012-04-16,9482,5875,3808,2582,2624,4453,11696,20712,24390,23572,20719,20302,21350,20856,22333,22424,19591,23697,28513,27623,25882,23470,21212,15356
2012-04-17,10386,6166,4138,2622,2421,4060,11951,22453,26538,25005,22543,21597,22342,22144,23774,22804,19607,23982,29797,29918,28815,27951,25942,22258
2012-04-18,14092,8291,4989,3332,2918,4231,12167,23343,27955,26218,23177,22769,23518,23432,25472,23635,19493,23753,30630,31871,31360,29715,28911,23457
2012-04-19,15205,9395,5497,3576,3127,4302,12209,23057,27242,26880,22670,23185,23248,23140,23998,22468,18055,22207,30139,31963,31425,30958,30922,26982
2012-04-20,21225,14170,9678,6158,4859,4800,11867,21070,26617,25718,23112,23596,23980,23234,25203,22952,18322,23564,30084,33354,32769,31100,31641,29867
2012-04-21,26793,23494,20308,14229,9344,5061,5567,8247,11961,17060,20174,23694,24440,22927,25041,23010,21319,25167,30183,32114,30844,28247,30256,31877
2012-04-22,29819,25519,22533,17085,11011,4931,4350,6189,8644,14550,20722,25615,25725,25991,24779,23346,19148,21863,23437,23264,21372,19641,17724,13653
2012-04-23,9090,5232,3095,1958,2242,3971,11793,20758,23882,23075,20023,19667,20135,19490,21173,20638,17668,20520,24080,23571,24425,22881,20860,15458
2012-04-24,9839,5887,3699,2301,2217,3624,10917,20071,24195,22476,20137,19000,20614,19856,20441,20597,15926,19669,26463,26849,25552,23512,22364,18331
2012-04-25,10949,7049,4450,3164,2579,3529,9803,19946,21984,20101,18834,18552,18488,19134,20651,18849,15463,18804,24334,26408,25267,25349,27265,22841
2012-04-26,15478,9336,5982,3884,3166,4304,11831,21425,25960,24255,22174,21476,22812,22565,24148,21802,16149,19378,25810,28295,28032,27909,27367,25459
2012-04-27,19487,12941,8783,5735,4322,4375,11585,20515,24508,23380,21403,21026,21149,19910,21402,19559,15597,20093,26174,29020,28350,26569,28912,27923
2012-04-28,25387,21498,17932,13075,9163,4377,4572,6959,11413,15425,19004,20323,20602,19861,20142,18861,15602,18844,22319,24534,23337,22278,24704,24179
2012-04-29,21896,21489,17809,14342,10066,4700,3864,5226,7466,11351,15140,18887,19731,19681,20604,19080,17084,18867,20919,20183,19078,18017,17185,13025
2012-04-30,8598,5077,3513,2366,2426,3876,10241,18067,21030,20142,17723,18122,19206,19132,22461,22523,19383,24362,31403,28896,27551,26993,22379,17159
